#00)t                         01)e_pot                      02)pos_cm[0]                  03)pos_cm[1]                  04)Vcm[0]                     05)Vcm[1]                     06)theta                      07)omega                      08)forces[0]                  09)forces[1]                  10)torque                     
12                            -155.0306636261211            0.01932536839031432           -4.86685303888191e-05         0.04460801349524874           0.01851951677124387           2.583927115576336             0.2123380400604166            -17.69137692452447            0.04455356891117146           -5091.154612980948            
12.5                          -145.2031118612701            0.02452055295892356           -1.576477325346093e-05        0.0948482369315351            -0.03529797558191147          2.697314516392667             0.2551164759181249            -16.11366142310662            0.01035982665482194           -4745.483454579197            
13                            -135.2747121796561            0.03164705484960204           -0.0003151321043311705        0.08369354031322813           0.002144806118430545          2.821315566988738             0.2675700396108408            -12.52765722160723            0.1247478138584363            -4327.933768431591            
13.5                          -125.4031857871869            0.04617264489953904           0.0003807476455923965         0.04929121581024092           0.01749609320431722           2.958278605883578             0.2909407500561139            -6.248997302138758            -0.0515323855839469           -3804.359032973829            
14                            -116.1039195172405            0.07231248508981718           -8.434494254816356e-06        0.1354503579463198            -0.002813183911971871         3.111953656183696             0.3243859335967866            8.339309908817395             -0.000972956870284869         -3126.89633376966             
14.5                          -109.499230674551             0.1324117797152201            0.0002820937533094066         0.2037199038657108            0.04310196980746046           3.288508034041833             0.3867444311190075            42.8859193921611              0.09163010901519775           -2103.157060870141            
15                            -113.4826735560434            0.256323098231121             0.002369339394656697          0.3138615130916792            -0.01876431203750219          3.501141098393136             0.4606949989706277            93.45411419226512             0.9097872563784288            -577.7363282971755            
15.5                          -126.7442379227433            0.4078516934711777            0.003526775929760604          0.2820178287299052            -0.04053056536109619          3.750475206236946             0.4973261710912228            65.37521502308954             1.026263976655827             219.1784725367013             
16                            -130.5605743617674            0.4848210817572997            0.004396764302347514          0.07803174351533342           0.005339985490901532          4.005373787759921             0.5143556585683534            12.34606530450566             1.199096825341081             44.84219586446881             
16.5                          -130.2614626904213            0.5137035253921921            0.006060093021571837          -0.0359695449301977           -0.02002199532302759          4.253849215487388             0.4848064121165381            -10.80103300844758            1.599537537541841             -184.1633836004178            
17                            -129.0035708478189            0.5214242238957544            0.009359709283834823          -0.05976962356493667          -0.00717013960088857          4.496719166899212             0.4801943127856214            -14.86547866900496            2.189318939310816             -355.453754306361             
17.5                          -127.1712703425173            0.5276736808373521            0.009977376513793523          0.0894557110825155            0.0141070116007341            4.735741799588189             0.4787181776068408            -15.29716396609822            1.873951843073303             -468.2922830002296            
18                            -124.9951395164779            0.5353686435089714            0.01125275548699741           0.05039476922234189           0.01754615340152839           4.972368858060094             0.4718489850763526            -13.54391562258961            1.482276124797376             -522.6614524649029            
18.5                          -122.6972992682262            0.5472601153799417            0.01277310523299448           0.07491218795322914           -0.01616286378326296          5.208403346561089             0.4713491241943547            -9.492386034848529            0.9046417759546088            -516.4122994326279            
19                            -120.580868593224             0.5645853063408012            0.01464162569496783           0.03887709375827143           -0.04840246112387755          5.445605801120291             0.4771015186003008            -1.458690683460759            0.1223119806079719            -449.3589230989775            
19.5                          -119.2102209296954            0.6004655932387387            0.0158384083790315            0.08208320121479232           0.04460266049115079           5.68620926988111              0.4881530363129617            13.44389052921677             -0.8997905331307137           -287.3704345138756            
20                            -120.1901197438397            0.6633037915899761            0.01319336965310961           0.1551988136859928            -0.02498300125974023          5.932571636649326             0.4997580396234472            38.66561183899377             -1.84965518819549             -14.38325415985463            
20.5                          -126.0288362211603            0.7625274242827558            0.009715985103245306          0.3106233844325033            -0.09537367677704098          6.187395761364877             0.5442344908698947            61.75377580639011             -2.619710998746672            270.4544420240765             
21                            -133.897694449361             0.8722583999236293            0.006065767640047726          0.226133952944043             -0.03406973814300834          6.446174088250065             0.528411719739092             51.31529193249263             -2.442725024770778            229.729488356779              
21.5                          -137.1998013189801            0.9501250020466941            0.003912555427653647          0.1396007921912923            0.09877874745959651           6.698857273008877             0.5041220969330125            22.51248916772369             -1.766136194961754            -99.81546684115332            
22                            -136.5955250755474            0.9948238584252391            0.001664617568455272          0.09514645310892532           -0.0009688159630388581        6.941988751185948             0.4860296029540994            2.215838958356185             -0.7126011566594126           -437.8582182681686            
22.5                          -134.189652002074             1.017859406709117             0.0009356497564306253         0.01024279117056726           -0.02684794365795093          7.17660830923981              0.4552425193649924            -6.526778148472607            -0.3419365407171215           -697.1731474533806            
23                            -130.9038959674958            1.033646151867351             0.001575133187598114          -0.05610521692898119          -0.0162718884720995           7.405199639639442             0.4414381715401315            -9.431125392549781            -0.441519829484446            -870.5607118354117            
23.5                          -127.1627728840053            1.046318439523011             0.002088800496010586          0.09161024819320121           -0.02410703609071645          7.630378136152872             0.4388672574893583            -8.445416440905731            -0.3808741372974775           -960.1754737380618            
24                            -123.257277928432             1.065073598057199             0.002111891136715376          0.04891189462287727           -0.02883017510679911          7.85400341057087              0.455960040322089             -5.152687104717975            -0.1672511250088835           -958.8819053775069            
24.5                          -119.5976584142419            1.089266822178797             0.001820506437153657          0.08473654925712361           0.04746896734337932           8.078824789570346             0.4547641439603758            1.825715494369279             0.03725484375912069           -869.4294948016457            
25                            -116.7428681410965            1.126097408029908             -0.0007243872258567846        0.04281209147970729           0.01794321941372821           8.307625391721057             0.452964240685478             13.36009524283415             -0.07693070254016932          -684.9991276187884            
25.5                          -115.6966781926038            1.182901105539456             -0.001870662838136357         0.1447028759660453            -0.05793068133783651          8.54284957810011              0.4886873545797764            29.23729274640082             -0.3024560739454674           -413.042800278835             
26                            -117.426562734225             1.260763568474955             -0.001496085016452279         0.1508243605520301            -0.01625661099522134          8.785854982808511             0.4969337833254558            42.14160303199427             -0.2557522815994229           -132.8551188727292            
26.5                          -120.9318045071841            1.348025007264137             -0.000604337198757153         0.1673251197654689            0.02970211394290676           9.035195126202003             0.497296863368592             39.5001680393468              -0.08711734988074915          11.00570036714197             
27                            -123.2889517731924            1.418429345195713             -0.001922287916752462         0.08071729575577591           -0.04909263012549213          9.28596936760322              0.5026278846887295            24.51017420746495             -0.2270798006215351           -9.149815989812282            
27.5                          -123.943254280942             1.468493500707108             -0.002696569075789862         0.08728718456817451           -0.03731900413524157          9.535228768319463             0.4913868004142255            9.282960964559148             -0.2717629336154972           -84.24675577844384            
28                            -123.5725010042486            1.500462931831719             -0.002826688148440944         0.01676811233954685           -0.04543577205831224          9.782664591354079             0.4966601418988716            -0.1183790294755214           -0.240927503209482            -149.3930184546381            
28.5                          -122.7705383533476            1.524770875554179             -0.004171173111125759         0.07037567455167576           0.06792395026407633           10.028378695269               0.4877320358306356            -4.863440109727764            -0.2773619699650351           -188.8443166170938            
29                            -121.8134235497509            1.545266682116174             -0.002945091216762589         0.08021393628903543           0.007660628143794589          10.27366787073335             0.4987099319355225            -5.673905731805319            -0.1297261353447916           -200.4119411397723            
29.5                          -120.8845358236669            1.565068957766879             -0.002565109184752714         -0.008079915277547324         0.05672880275750294           10.51907638513014             0.4949425435251429            -3.296613907042446            -0.04821901952870777          -185.4401721504931            
30                            -120.1474560123875            1.588784814081874             -0.001920610456303325         0.04617888884093103           0.08855310810634773           10.76494510207045             0.4894021063485787            1.774371543790476             0.0155267261225307            -144.1224888706657            
30.5                          -119.8659336021061            1.623654434978785             0.001239618177795792          0.1614182733223787            0.02032856727027784           11.01267829194132             0.5094735267044898            9.663141063038761             -0.04605082180532971          -74.40488838762155            
31                            -120.4735892763406            1.673888769626537             0.000803949144187188          0.1912174156330021            -0.04519761166620986          11.26242899197755             0.5063543541777433            19.66142972192326             -0.05741731103650927          10.26156351205088             
31.5                          -122.0873789951713            1.733510760213667             0.0001960189309446093         0.1650782550849375            0.1003852021605778            11.51422811651839             0.5093862846400919            27.64107975639446             -0.02163804047167872          59.10062784549319             
